,movie,year,imdb,votes,metascore
0,Gladiator,(2000),8.5,1220065,67
1,Memento,(2000),8.5,1036117,80
2,Snatch,(2000),8.3,722692,55
3,Requiem for a Dream,(2000),8.3,704190,68
4,X-Men,(2000),7.4,539311,64
5,Cast Away,(2000),7.8,475305,73
6,American Psycho,(2000),7.6,433905,64
7,Unbreakable,(2000),7.3,354962,62
8,Meet the Parents,(2000),7.0,293979,73
9,Mission: Impossible II,(2000),6.1,292234,59
10,"O Brother, Where Art Thou?",(2000),7.8,265774,69
11,Gone in Sixty Seconds,(2000),6.5,246779,35
12,Wo hu cang long,(2000),7.9,240720,93
13,The Patriot,(2000),7.2,238589,63
14,Almost Famous,(2000),7.9,235660,90
15,Scary Movie,(2000),6.2,215680,48
16,Pitch Black,(2000),7.1,214628,49
17,Final Destination,(2000),6.7,212260,36
18,"Me, Myself & Irene",(2000),6.6,210474,49
19,The Beach,(I) (2000),6.6,209258,43
20,Amores perros,(2000),8.1,207805,83
21,Traffic,(2000),7.6,186637,86
22,Remember the Titans,(2000),7.8,184970,48
23,How the Grinch Stole Christmas,(2000),6.1,184154,46
24,What Women Want,(2000),6.4,181251,47
25,Miss Congeniality,(2000),6.2,170757,43
26,Chocolat,(2000),7.3,168792,64
27,Chicken Run,(2000),7.1,164698,88
28,Charlie's Angels,(2000),5.5,164152,52
29,The Emperor's New Groove,(2000),7.4,162247,70
30,Batoru rowaiaru,(2000),7.7,159717,81
31,Erin Brockovich,(2000),7.3,159491,73
32,High Fidelity,(2000),7.5,158886,79
33,Road Trip,(2000),6.5,148930,55
34,The Perfect Storm,(2000),6.4,147479,59
35,"Dude, Where's My Car?",(2000),5.5,128922,30
36,Billy Elliot,(2000),7.7,116010,74
37,Hollow Man,(2000),5.7,115168,24
38,Scream 3,(2000),5.6,114807,56
39,Shanghai Noon,(2000),6.6,112337,77
40,The 6th Day,(2000),5.9,111007,49
41,What Lies Beneath,(2000),6.6,110798,51
42,Malcolm in the Middle,(2000–2006),8.0,109019,NaN
43,Pay It Forward,(2000),7.2,107494,40
44,Faa yeung nin wa,(2000),8.1,106583,85
45,The Whole Nine Yards,(2000),6.7,103185,47
46,Men of Honor,(2000),7.2,101233,56
47,Coyote Ugly,(2000),5.7,101222,27
48,The Family Man,(2000),6.8,97315,42
49,Frequency,(2000),7.4,94945,67
50,Gladiator,(2000),8.5,1220065,67
51,Memento,(2000),8.5,1036117,80
52,Snatch,(2000),8.3,722692,55
53,Requiem for a Dream,(2000),8.3,704190,68
54,X-Men,(2000),7.4,539311,64
55,Cast Away,(2000),7.8,475305,73
56,American Psycho,(2000),7.6,433905,64
57,Unbreakable,(2000),7.3,354962,62
58,Meet the Parents,(2000),7.0,293979,73
59,Mission: Impossible II,(2000),6.1,292234,59
60,"O Brother, Where Art Thou?",(2000),7.8,265774,69
61,Gone in Sixty Seconds,(2000),6.5,246779,35
62,Wo hu cang long,(2000),7.9,240720,93
63,The Patriot,(2000),7.2,238589,63
64,Almost Famous,(2000),7.9,235660,90
65,Scary Movie,(2000),6.2,215680,48
66,Pitch Black,(2000),7.1,214628,49
67,Final Destination,(2000),6.7,212260,36
68,"Me, Myself & Irene",(2000),6.6,210474,49
69,The Beach,(I) (2000),6.6,209258,43
70,Amores perros,(2000),8.1,207805,83
71,Traffic,(2000),7.6,186637,86
72,Remember the Titans,(2000),7.8,184970,48
73,How the Grinch Stole Christmas,(2000),6.1,184154,46
74,What Women Want,(2000),6.4,181251,47
75,Miss Congeniality,(2000),6.2,170757,43
76,Chocolat,(2000),7.3,168792,64
77,Chicken Run,(2000),7.1,164698,88
78,Charlie's Angels,(2000),5.5,164152,52
79,The Emperor's New Groove,(2000),7.4,162247,70
80,Batoru rowaiaru,(2000),7.7,159717,81
81,Erin Brockovich,(2000),7.3,159491,73
82,High Fidelity,(2000),7.5,158886,79
83,Road Trip,(2000),6.5,148930,55
84,The Perfect Storm,(2000),6.4,147479,59
85,"Dude, Where's My Car?",(2000),5.5,128922,30
86,Billy Elliot,(2000),7.7,116010,74
87,Hollow Man,(2000),5.7,115168,24
88,Scream 3,(2000),5.6,114807,56
89,Shanghai Noon,(2000),6.6,112337,77
90,The 6th Day,(2000),5.9,111007,49
91,What Lies Beneath,(2000),6.6,110798,51
92,Malcolm in the Middle,(2000–2006),8.0,109019,NaN
93,Pay It Forward,(2000),7.2,107494,40
94,Faa yeung nin wa,(2000),8.1,106583,85
95,The Whole Nine Yards,(2000),6.7,103185,47
96,Men of Honor,(2000),7.2,101233,56
97,Coyote Ugly,(2000),5.7,101222,27
98,The Family Man,(2000),6.8,97315,42
99,Frequency,(2000),7.4,94945,67
100,Gladiator,(2000),8.5,1220065,67
101,Memento,(2000),8.5,1036117,80
